iter	Passed	Remaining
416	2639	3689
417	2645	3682
418	2650	3674
419	2655	3667
420	2661	3660
421	2666	3652
422	2672	3645
423	2677	3637
424	2683	3630
425	2688	3622
426	2694	3615
427	2700	3608
428	2706	3601
429	2712	3595
430	2717	3587
431	2723	3580
432	2728	3572
433	2733	3564
434	2739	3557
435	2744	3550
436	2749	3542
437	2755	3535
438	2760	3527
439	2765	3519
440	2771	3513
441	2777	3506
442	2782	3498
443	2787	3491
444	2793	3483
445	2798	3476
446	2804	3470
447	2811	3464
448	2817	3457
449	2824	3451
450	2829	3444
451	2835	3438
452	2840	3430
453	2846	3422
454	2851	3415
455	2857	3408
456	2862	3401
457	2867	3393
458	2873	3386
459	2878	3379
460	2884	3371
461	2889	3364
462	2894	3356
463	2899	3349
464	2905	3343
465	2910	3335
466	2916	3328
467	2922	3322
468	2927	3314
469	2934	3308
470	2939	3301
471	2944	3293
472	2950	3286
473	2956	3280
474	2961	3273
475	2968	3267
476	2973	3260
477	2978	3252
478	2984	3246
479	2989	3238
480	2994	3231
481	3000	3225
482	3006	3217
483	3011	3210
484	3018	3204
485	3023	3197
486	3029	3191
487	3037	3186
488	3043	3180
489	3050	3175
490	3057	3169
491	3065	3165
492	3072	3160
493	3080	3155
494	3087	3150
495	3102	3152
496	3115	3152
497	3126	3151
498	3139	3152
499	3153	3153
500	3160	3147
501	3168	3143
502	3176	3138
503	3183	3133
504	3189	3126
505	3197	3121
506	3202	3114
507	3208	3107
508	3214	3100
509	3220	3094
510	3227	3088
511	3233	3081
512	3238	3074
513	3245	3068
514	3250	3060
515	3255	3053
516	3261	3046
517	3266	3039
518	3271	3031
519	3277	3024
520	3282	3017
521	3287	3010
522	3293	3004
523	3298	2996
524	3306	2991
525	3311	2984
526	3316	2976
527	3322	2970
528	3328	2963
529	3333	2955
530	3339	2949
531	3344	2942
532	3351	2936
533	3357	2930
534	3363	2923
535	3368	2915
536	3373	2908
537	3379	2901
538	3384	2894
539	3390	2888
540	3396	2881
541	3401	2874
542	3407	2867
543	3412	2860
544	3417	2853
545	3423	2847
546	3429	2839
547	3434	2832
548	3441	2826
549	3446	2819
550	3451	2812
551	3457	2806
552	3462	2798
553	3468	2791
554	3473	2784
555	3478	2777
556	3483	2770
557	3490	2764
558	3495	2757
559	3500	2750
560	3506	2743
561	3511	2736
562	3516	2729
563	3522	2722
564	3527	2715
565	3532	2708
566	3539	2702
567	3544	2696
568	3550	2689
569	3556	2682
570	3562	2676
571	3568	2670
572	3574	2663
573	3579	2656
574	3585	2650
575	3591	2643
576	3596	2636
577	3602	2630
578	3607	2623
579	3612	2616
580	3618	2609
581	3623	2602
582	3628	2595
583	3635	2589
584	3640	2582
585	3645	2575
586	3652	2569
587	3657	2562
588	3663	2556
589	3669	2549
590	3674	2542
591	3680	2536
592	3685	2529
593	3690	2522
594	3697	2516
595	3702	2509
596	3707	2502
597	3713	2496
598	3718	2489
599	3723	2482
600	3730	2476
601	3735	2469
602	3740	2462
603	3747	2456
604	3753	2450
605	3758	2443
606	3766	2438
607	3771	2431
608	3777	2425
609	3783	2419
610	3790	2413
611	3797	2407
612	3803	2400
613	3810	2395
614	3816	2389
615	3822	2382
616	3828	2376
617	3834	2369
618	3839	2363
619	3846	2357
620	3851	2350
621	3857	2344
622	3862	2337
623	3868	2331
624	3874	2324
625	3880	2318
626	3885	2311
627	3891	2304
628	3897	2298
629	3903	2292
630	3909	2286
631	3915	2280
632	3922	2274
633	3929	2268
634	3935	2261
635	3941	2255
636	3948	2249
637	3954	2243
638	3961	2238
639	3966	2231
640	3972	2224
641	3977	2218
642	3982	2211
643	3989	2205
644	3996	2199
645	4001	2192
646	4007	2186
647	4012	2179
648	4018	2173
649	4025	2167
650	4031	2161
651	4039	2156
652	4046	2150
653	4054	2145
654	4061	2139
655	4068	2133
656	4075	2127
657	4082	2121
658	4088	2115
659	4095	2109
660	4101	2103
661	4108	2097
662	4114	2091
663	4122	2086
664	4128	2079
665	4136	2074
666	4143	2068
667	4150	2062
668	4156	2056
669	4164	2050
670	4171	2045
671	4178	2039
672	4185	2033
673	4191	2027
674	4196	2020
675	4203	2014
676	4208	2007
677	4214	2001
678	4221	1995
679	4227	1989
680	4233	1983
681	4239	1976
682	4245	1970
683	4251	1964
684	4257	1957
685	4262	1950
686	4268	1944
687	4274	1938
688	4279	1931
689	4285	1925
690	4291	1918
691	4297	1912
692	4302	1906
693	4307	1899
694	4313	1892
695	4318	1886
696	4323	1879
697	4329	1873
698	4334	1866
699	4339	1859
700	4345	1853
701	4350	1846
702	4355	1840
703	4361	1833
704	4367	1827
705	4372	1820
706	4378	1814
707	4384	1808
708	4389	1801
709	4395	1795
710	4400	1788
711	4406	1782
712	4412	1775
713	4417	1769
714	4422	1762
715	4429	1757
716	4435	1750
717	4440	1743
718	4446	1737
719	4451	1731
720	4457	1724
721	4463	1718
722	4468	1712
723	4474	1705
724	4481	1699
725	4486	1693
726	4492	1686
727	4497	1680
728	4502	1673
729	4508	1667
730	4513	1660
731	4519	1654
732	4525	1648
733	4530	1641
734	4537	1635
735	4543	1629
736	4549	1623
737	4555	1617
738	4560	1610
739	4565	1604
740	4571	1597
